Studio,City,ZIP Code,Latitude,Longitude,Studio Count
Toe Toe Ballet,Los Angeles,90020,34.06636145,-118.3016484,1
Liberation Yoga,Los Angeles,90019,34.04884238,-118.3361087,11
Evolve Dance Studio,Los Angeles,90019,34.04884238,-118.3361087,11
Chloe Massage Spa,Los Angeles,90019,34.04884238,-118.3361087,11
Balance Work Yoga and Massage,Los Angeles,90019,34.04884238,-118.3361087,11
Heal One World,Los Angeles,90019,34.04884238,-118.3361087,11
Christina Huntington Meditation,Los Angeles,90019,34.04884238,-118.3361087,11
Vidalia Om,Los Angeles,90019,34.04884238,-118.3361087,11
Yoga Doula Cassie,Los Angeles,90019,34.04884238,-118.3361087,11
Rainbeau Mars Lifestyles,Los Angeles,90019,34.04884238,-118.3361087,11
Happy Yoga LA,Los Angeles,90019,34.04884238,-118.3361087,11
Inverted Play,Los Angeles,90019,34.04884238,-118.3361087,11
Radha Yoga,Los Angeles,90018,34.03077151,-118.316869,3
Sivananda Yoga Vedanta Center,Los Angeles,90018,34.03077151,-118.316869,3
RA MA East,Los Angeles,90018,34.03077151,-118.316869,3
Houston Heller- LMT,Los Angeles,90017,34.05230101,-118.2633863,6
CorePower Yoga,Los Angeles,90017,34.05230101,-118.2633863,6
Onika Keleny Fitness,Los Angeles,90017,34.05230101,-118.2633863,6
LA Fitness,Los Angeles,90017,34.05230101,-118.2633863,6
Myyogini,Los Angeles,90017,34.05230101,-118.2633863,6
Los Angeles Therapy Institute,Los Angeles,90017,34.05230101,-118.2633863,6
Vrkira Yoga,Los Angeles,90016,34.02888143,-118.353089,3
Dharma Yoga L.A.,Los Angeles,90016,34.02888143,-118.353089,3
iELevateME,Los Angeles,90016,34.02888143,-118.353089,3
Peace Yoga Gallery,Los Angeles,90015,34.04012196,-118.2649896,2
Fit2fly Mobile Personal Training,Los Angeles,90015,34.04012196,-118.2649896,2
Evoke Yoga,Los Angeles,90014,34.04475373,-118.2527367,5
Harakati Studios,Los Angeles,90014,34.04475373,-118.2527367,5
Blue Lite Yoga,Los Angeles,90014,34.04475373,-118.2527367,5
Meraki Studios LA,Los Angeles,90014,34.04475373,-118.2527367,5
Embodiment Work,Los Angeles,90014,34.04475373,-118.2527367,5
Yoga Circle Downtown,Los Angeles,90013,34.04602247,-118.2462496,6
The Main Barre,Los Angeles,90013,34.04602247,-118.2462496,6
LaLaLå! Jivamukti Yoga Los Angeles,Los Angeles,90013,34.04602247,-118.2462496,6
The Mystic Rebel Healing Collective,Los Angeles,90013,34.04602247,-118.2462496,6
MOSA Yoga and Massage,Los Angeles,90013,34.04602247,-118.2462496,6
Los Angeles Parks n Recreation,Los Angeles,90013,34.04602247,-118.2462496,6
Sanctuary Fitness - DTLA Arts District,Los Angeles,90012,34.0594833,-118.242048,6
Sweat Yoga Little Tokyo,Los Angeles,90012,34.0594833,-118.242048,6
Bikram Yoga,Los Angeles,90012,34.0594833,-118.242048,6
Sultan Yoga,Los Angeles,90012,34.0594833,-118.242048,6
Fire Hot Yoga and Ice Cryotherapy,Los Angeles,90012,34.0594833,-118.242048,6
Salas Studio Gallery,Los Angeles,90012,34.0594833,-118.242048,6
Pack Your Mat,Los Angeles,90011,34.00790374,-118.259037,1
D&A Flying Yoga,Los Angeles,90010,34.06139076,-118.3096997,6
I Love Pilates,Los Angeles,90010,34.06139076,-118.3096997,6
A Serpent's Lair,Los Angeles,90010,34.06139076,-118.3096997,6
Together Yoga,Los Angeles,90010,34.06139076,-118.3096997,6
Aroma Spa & Sport,Los Angeles,90010,34.06139076,-118.3096997,6
Puneet Yoga,Los Angeles,90010,34.06139076,-118.3096997,6
Dee Dussault - Ganja Yoga & Sex Coaching,Los Angeles,90008,34.01097132,-118.3415877,1
Art of Living Foundation,Los Angeles,90007,34.02833396,-118.2850766,2
Art of Living Studio,Los Angeles,90007,34.02833396,-118.2850766,2
Ekatala Yoga,Los Angeles,90006,34.05010243,-118.292689,1
Hot 8 Yoga,Los Angeles,90005,34.05907053,-118.3030171,4
YogaWorks Koreatown,Los Angeles,90005,34.05907053,-118.3030171,4
Body & Brain Yoga Tai Chi - Wilshire,Los Angeles,90005,34.05907053,-118.3030171,4
Immanuel's Healing Center,Los Angeles,90005,34.05907053,-118.3030171,4
dr pilates,Los Angeles,90004,34.07572059,-118.3030171,7
ROAM Yoga,Los Angeles,90004,34.07572059,-118.3030171,7
Pia Yoga Fitness,Los Angeles,90004,34.07572059,-118.3030171,7
YogaWorks - Larchmont,Los Angeles,90004,34.07572059,-118.3030171,7
Thai Yoga Massage by Sasha,Los Angeles,90004,34.07572059,-118.3030171,7
Larchmont Meditate,Los Angeles,90004,34.07572059,-118.3030171,7
Amanda Star,Los Angeles,90004,34.07572059,-118.3030171,7
The Travel Yogi,Los Angeles,90001,33.97327405,-118.2489696,8
Lily Rose Healing,Los Angeles,90001,33.97327405,-118.2489696,8
Jason Gorenstein Integrative Wellness,Los Angeles,90001,33.97327405,-118.2489696,8
Sanctuary of Sounds,Los Angeles,90001,33.97327405,-118.2489696,8
Tom Widdison Slackline & Partner Acrobatics Instructor,Los Angeles,90001,33.97327405,-118.2489696,8
Living Lēla,Los Angeles,90001,33.97327405,-118.2489696,8
FitClub: Corporate Wellness and Personal Training,Los Angeles,90001,33.97327405,-118.2489696,8
Sara R. van Koningsveld,Los Angeles,90001,33.97327405,-118.2489696,8
